id,first_name,lastname,email,nombre_points
100,Idriss,Reinke,Reinke@yopmail.com,48.143574
101,Idriss,Ciapas,Ciapas@yopmail.com,30.34958
102,Joseph,Bevin,Bevin@yopmail.com,19.85375
103,Durand,Frodi,Frodi@yopmail.com,32.50723
104,Joseph,Urias,Urias@yopmail.com,130.67448
105,Legrand,Kirstin,Kirstin@yopmail.com,33.757313
106,Rodolphe,Ovid,Ovid@yopmail.com,37.647747
107,Idriss,Bobbee,Bobbee@yopmail.com,65.82539
108,William,Sinegold,Sinegold@yopmail.com,40.754086
109,Ornel,Rosemary,Rosemary@yopmail.com,60.492664
